Scientific name;Family;Svenskt namn;Dyntaxa ID number;Establishment;Red-listed;Red-listed values;Time of immigration;Införd;Index of invasive concern;Risk för Invasiv?;Biodiversity relevance (1-8);Antalet andra organismer som är beroende av, eller använder, arten som födokälla, substrat, skydd eller mutualistisk partner.;Nektar produktion (1-7);Heat requirement;Värmekrav klara som lägst (odlingszoner);Cold requirement;Kylkrav (;Temp. optimum;Continentality;Light;Växtnamn;Växtsätt;kontroll;Växtnamn;Medelhöjd (cm);Maxhöjd (cm);Blomningsstart;Blomningsslut;Phenology;Börjar Blomma;Extreme phenology;Sena;Kontroll;Växtnamn;Blommande?;Blomfärg;Kontroll;Ljus;Moisture;Fukt;Soil reaction (pH);pH;Nitrogen (N);Kväve;Phosphorus (P);Fosfor;Salinity;Salttålighet;Grazing/mowing;Bete/slåtter;Soil disturbance;Mark störning;Longevity;Livslängd;Pollinator dependence;Pollinering;Seed dormancy;Vilande frön;Seed bank;Fröbank;Seed disperser;Nitrogen fixation;Photosynthetic pathway;Mycorrhiza;Carnivory;Parasitism;Plantskolor;;1 Siliceous rock;2 Ultrabasic rock;3 Calcareous rock;4 Dry heath;5. Dry meadow;6 Steppic meadow;7 Sand steppe;8 Moist heath;9 Moist meadow;10 Moist calcareous meadow;11 Raised bog;12 Poor/acidic fen;13 Intermediate-rich fen;14 Rich/calcareous fen;15 Tall herb/sedge/reed meadow;16 Oligotrophic water & shores;17 Mesotrophic water & shores;18 Eutrophic water & shores;19 sandy/stony/rocky sea shores;20 Sea shore meadows;21 Base-poor wasteland;22 Base-rich wasteland;23. Arable land;24 Gravelly ground;25 Ruderal;26 Hedgerows, thickets, wood-margins and groves;27 Heath-type deciduous forest;28 Intermediate deciduous forest;29 Herb-rich deciduous forest;30 Alnus glutinosa swamp;31 Fraxinus/Ulmus/Alnus incana swamp;32 Pinus/Betula swamp;33 Picea swamp;34 Heath-type coniferous forest;35 Vaccinium-type coniferous forest;36 Herb-rich coniferous forest;37 Cacareous conifer forest;38 Subalpine Betula forest
Carex rufina Drejer;Cyperaceae;dvärgstarr;222369;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;2;2. mellan-alpinzon;17;;17;;7;Carex rufina Drejer;Gräs/halvgräs;SANT;Carex rufina Drejer;5;20;Juli;Augusti; ;Ingen data; ;Ingen data;SANT;Carex rufina Drejer;Ja;Grön;SANT;7. alltid full sol;8;8. våt;5;5. subneutral (pH 5.5–6.5); ;Ingen data;3;3. trivs med genomsnittlig fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden; ;Ingen data;6;6. förökar sig endast i störd/naken jord, kan bestå i årtionden men försvinner gradvis när vegetationen sluter sig;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex rupestris Bellardi ex All.;Cyperaceae;klippstarr;222370;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;1;1. hög-alpin/arktiskzon;16;;17;;7;Carex rupestris Bellardi ex All.;Gräs/halvgräs;SANT;Carex rupestris Bellardi ex All.;10;30;Juni;Juli; ;Ingen data; ;Ingen data;SANT;Carex rupestris Bellardi ex All.;Ja;Grön;SANT;7. alltid full sol;4;4. mesisk;8;8. alkalisk (pH > 7.5); ;Ingen data;2;2. missgynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;6;6. starkt gynnad av regelbunden betning/slåtter, men tål några år utan hantering;5;5. kräver markstörning för förökning, men etablerade individer kan bestå länge (årtionden–århundraden) i ostörd vegetation;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;1;kortlivad (upp till ett eller sällan två år);Passive;Nej;C3;None;0;Nej;;;0;0;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex saxatilis L.;Cyperaceae;glansstarr;222371;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;2;2. mellan-alpinzon;16;;17;;7;Carex saxatilis L.;Gräs/halvgräs;SANT;Carex saxatilis L.;30;100;Juni;Juli; ;Ingen data; ;Ingen data;SANT;Carex saxatilis L.;Ja;Grön;SANT;7. alltid full sol;7;7. fuktig–våt;7;7. circumneutral (pH 6.5–7.5); ;Ingen data;2;2. missgynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;5;5. gynnas av viss betning/slåtter, men överlever även i ohanterade habitat;3;3. förökar sig också i ostörd etablerad vegetation men är knappast konkurrenskraftig där och blir på sikt utkonkurrerad;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;1;kortlivad (upp till ett eller sällan två år);Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;3;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex simpliciuscula Wahlenb.;Cyperaceae;fleraxig sävstarr;222548;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;3;3. låg-alpinzon;16;;16;;7;Carex simpliciuscula Wahlenb.;Gräs/halvgräs;SANT;Carex simpliciuscula Wahlenb.;5;20;Juni;Juli; ;Ingen data; ;Ingen data;SANT;Carex simpliciuscula Wahlenb.;Ja;Grön;SANT;7. alltid full sol;7;7. fuktig–våt;8;8. alkalisk (pH > 7.5);2;2. måttligt–mycket kvävefattig;2;2. missgynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden; ;Ingen data;3;3. förökar sig också i ostörd etablerad vegetation men är knappast konkurrenskraftig där och blir på sikt utkonkurrerad;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;3;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex spicata Huds.;Cyperaceae;piggstarr;222372;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;10;10. zon 4;3;;5;5;6;Carex spicata Huds.;Gräs/halvgräs;SANT;Carex spicata Huds.;30;100;Juni;Augusti;7;7.S Maj;2;07-juli;SANT;Carex spicata Huds.;Ja;Grön;SANT;6. sol, men tål viss skugga;3;3. torr–mesisk;7;7. circumneutral (pH 6.5–7.5);4;4. måttligt kvävefattig – måttligt kväverik;4;4. gynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;6;6. förökar sig endast i störd/naken jord, kan bestå i årtionden men försvinner gradvis när vegetationen sluter sig;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;3;långlivad (5–25 år);Passive;Nej;C3;None;0;Nej;;;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex sylvatica Huds.;Cyperaceae;skogsstarr;222375;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;10;10. zon 4;3;;5;3;3;Carex sylvatica Huds.;Gräs/halvgräs;SANT;Carex sylvatica Huds.;20;80;Juni;Augusti;8;8. B Jun;1;22-juni;SANT;Carex sylvatica Huds.;Ja;Grön;SANT;3. halvskugga-måttlig skugga;7;7. fuktig–våt;6;6. subneutral–circumneutral;7;7. mycket kväverik;3;3. trivs med genomsnittlig fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast);2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd;3;långlivad (5–25 år);Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;3;0;0
Carex tenuiflora Wahlenb.;Cyperaceae;tågstarr;270;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;5;5. zon 9;13;;14;8;4;Carex tenuiflora Wahlenb.;Gräs/halvgräs;SANT;Carex tenuiflora Wahlenb.;10;50;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Carex tenuiflora Wahlenb.;Ja;Grön;SANT;4. halvskugga-måttlig skugga;7;7. fuktig–våt;5;5. subneutral (pH 5.5–6.5);5;5. måttligt kväverik;3;3. trivs med genomsnittlig fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;6;6. förökar sig endast i störd/naken jord, kan bestå i årtionden men försvinner gradvis när vegetationen sluter sig;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;2;kortvarig (1–5 år);Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;2
Carex vesicaria L.;Cyperaceae;blåsstarr;222381;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;5;5. 51-100;1;4;4. trädgränsen;4;;9;7;4;Carex vesicaria L.;Gräs/halvgräs;SANT;Carex vesicaria L.;40;120;Maj;Juni;7;7.S Maj;2;07-juli;SANT;Carex vesicaria L.;Ja;Grön;SANT;4. halvskugga-måttlig skugga;9;9. våt – tillfälligt översvämmad;6;6. subneutral–circumneutral;5;5. måttligt kväverik;3;3. trivs med genomsnittlig fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;2;2. koloniserar redan etablerad vegetation, konkurrerar framgångsrikt en tid men blir på sikt utkonkurrerad om ingen markstörning sker;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data;3;långlivad (5–25 år);Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Carex x saamica;Cyperaceae;mörk flasktarr;230982;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;1;3;3. låg-alpinzon;9;;12;6;6;Carex x saamica;Gräs/halvgräs;SANT;Carex x saamica;30;80;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Carex x saamica;Ja;Grön;SANT;6. sol, men tål viss skugga;9;9. våt – tillfälligt översvämmad;3;3. måttligt sur (pH 4.5–5.5);3;3. måttligt kvävefattig;3;3. trivs med genomsnittlig fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;3;3. förökar sig också i ostörd etablerad vegetation men är knappast konkurrenskraftig där och blir på sikt utkonkurrerad;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast); ;Ingen data; ;Ingen data;Water;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carlina vulgaris L.;Asteraceae;spåtistel;220038;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;;10;10. zon 4;3;;5;6;6;Carlina vulgaris L.;Ört;SANT;Carlina vulgaris L.;10;50;Juli;September;11;11. S Jul;4;06-aug.;SANT;Carlina vulgaris L.;Ja;Vit;SANT;6. sol, men tål viss skugga;1;1. mycket torr;7;7. circumneutral (pH 6.5–7.5);3;3. måttligt kvävefattig;2;2. missgynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;5;5. gynnas av viss betning/slåtter, men överlever även i ohanterade habitat;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;2;tvåårig eller åtminstone döende efter blomning (hapaxant);1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer;2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd;2;kortvarig (1–5 år);AirP;Nej;C3;AM;0;Nej;;;0;1;3;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carpinus betulus L.;Betulaceae;avenbok;220039;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;6;6. 101-200;1;11;11. zon 3;3;;5;5;4;Carpinus betulus L.;Träd;SANT;Carpinus betulus L.;1000;2000;April;Maj;4;4. B Apr;5;21-aug.;SANT;Carpinus betulus L.;Ja;Grön ;SANT;4. halvskugga-måttlig skugga;3;3. torr–mesisk;5;5. subneutral (pH 5.5–6.5);5;5. måttligt kväverik;3;3. trivs med genomsnittlig fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;2;2. koloniserar redan etablerad vegetation, konkurrerar framgångsrikt en tid men blir på sikt utkonkurrerad om ingen markstörning sker;4;långlivad perenn;0b;vindpollinerad eller vattenpollinerad (främst eller endast);4;med mellanliggande eller djup fysiologisk eller morfofysiologisk viloläge, gror endast efter minst en period av > 35 dagar med kallstratifiering;1;kortlivad (upp till ett eller sällan två år);AirW;Nej;C3;EM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;0;0;0;0;0;0;0;0;0
Cassiope tetragona (L.) D. Don;Ericaceae;kantljung;221081;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;4;2;2. mellan-alpinzon;16;;17;;7;Cassiope tetragona (L.) D. Don;Buske;SANT;Cassiope tetragona (L.) D. Don;10;20;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Cassiope tetragona (L.) D. Don;Ja;Vit;SANT;7. alltid full sol;4;4. mesisk;8;8. alkalisk (pH > 7.5);2;2. måttligt–mycket kvävefattig;1;1. undviker jordar med hög tillgång på fosfor;1;inte salttolerant, undviker även svagt salina förhållanden;5;5. gynnas av viss betning/slåtter, men överlever även i ohanterade habitat;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn; ;ingen data;2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd;1;kortlivad (upp till ett eller sällan två år);AirD;Nej;C3;EriM;0;Nej;;;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centaurea jacea L.;Asteraceae;rödklint;220054;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;5;5. 51-100;6;7;7. zon 7;3;;7;5;5;Centaurea jacea L.;Ört;SANT;Centaurea jacea L.;30;100;Juni;September;10;10. B Jul;3;22-juli;SANT;Centaurea jacea L.;Ja;Lila;SANT;5. sol-halvskugga;4;4. mesisk;6;6. subneutral–circumneutral;5;5. måttligt kväverik;2;2. missgynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;6;6. starkt gynnad av regelbunden betning/slåtter, men tål några år utan hantering;3;3. förökar sig också i ostörd etablerad vegetation men är knappast konkurrenskraftig där och blir på sikt utkonkurrerad;4;långlivad perenn;2ab;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar);2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd;2;kortvarig (1–5 år);Myr;Nej;C3;AM;0;Nej;Säve, Pratensis;;0;1;1;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Centaurea scabiosa L.;Asteraceae;väddklint;264738;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;5;5. 51-100;5;9;9. zon 5;3;;6;5;7;Centaurea scabiosa L.;Ört;SANT;Centaurea scabiosa L.;20;60;Juli;September;10;10. B Jul;3;22-juli;SANT;Centaurea scabiosa L.;Ja;Lila;SANT;7. alltid full sol;2;2. torr;7;7. circumneutral (pH 6.5–7.5);4;4. måttligt kvävefattig – måttligt kväverik;3;3. trivs med genomsnittlig fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;5;5. kräver markstörning för förökning, men etablerade individer kan bestå länge (årtionden–århundraden) i ostörd vegetation;4;långlivad perenn;2;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar);1;ej vilande, gror inom 10 dagar;2;kortvarig (1–5 år);Myr;Nej;C3;AM;0;Nej;;;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cephalanthera damasonium (Mill.) Druce;Orchidaceae;stor skogslilja;289;Resident;VU;2;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;13;13. zon 1;2;;3;5;2;Cephalanthera damasonium (Mill.) Druce;Ört;SANT;Cephalanthera damasonium (Mill.) Druce;20;60;Maj;Juni; ;Ingen data; ;Ingen data;SANT;Cephalanthera damasonium (Mill.) Druce;Ja;Vit;SANT;2. måttlig-helskugga;5;5. mesisk–fuktig;8;8. alkalisk (pH > 7.5);5;5. måttligt kväverik;2;2. missgynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;0c;självbefruktning (främst eller endast); ;Ingen data; ;Ingen data;Passive;Nej;C3;OrkM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;6;0
Cephalanthera longifolia (L.) Fritsch;Orchidaceae;vit skogslilja;219769;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;11;11. zon 3;3;;5;5;3;Cephalanthera longifolia (L.) Fritsch;Ört;SANT;Cephalanthera longifolia (L.) Fritsch;20;50;Maj;Juni; ;Ingen data; ;Ingen data;SANT;Cephalanthera longifolia (L.) Fritsch;Ja;Vit;SANT;3. halvskugga-måttlig skugga;5;5. mesisk–fuktig;7;7. circumneutral (pH 6.5–7.5);2;2. måttligt–mycket kvävefattig;1;1. undviker jordar med hög tillgång på fosfor;1;inte salttolerant, undviker även svagt salina förhållanden;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;1a;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar); ;Ingen data; ;Ingen data;Passive;Nej;C3;OrkM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;2;3;0
Cephalanthera rubra (L.) Rich.;Orchidaceae;röd skogslilja;290;Resident;NT;1;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;1;10;10. zon 4;3;;5;6;4;Cephalanthera rubra (L.) Rich.;Ört;SANT;Cephalanthera rubra (L.) Rich.;30;60;Juni;Juli;9;9. S Jun;2;07-juli;SANT;Cephalanthera rubra (L.) Rich.;Ja;Röd;SANT;4. halvskugga-måttlig skugga;3;3. torr–mesisk;6;6. subneutral–circumneutral;2;2. måttligt–mycket kvävefattig;2;2. missgynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;4;4. har viss förmåga att föröka sig även i ostörd etablerad vegetation, men inte tillräckligt för att hålla en stabil populationsstorlek;4;långlivad perenn;1a;främst pollinerad av insekter andra än Lepidoptera eller Hymenoptera (t.ex. Diptera eller skalbaggar); ;Ingen data; ;Ingen data;AirD;Nej;C3;OrkM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0
Cerastium alpinum L.;Caryophyllaceae;fjällarv;220688;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;2;2. 6-12;3;1;1. hög-alpin/arktiskzon;11;;15;5;6;Cerastium alpinum L.;Ört;SANT;Cerastium alpinum L.;5;15;Juli;Augusti; ;Ingen data; ;Ingen data;SANT;Cerastium alpinum L.;Ja;Vit;SANT;6. sol, men tål viss skugga;3;3. torr–mesisk;7;7. circumneutral (pH 6.5–7.5); ;Ingen data;4;4. gynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;6;6. förökar sig endast i störd/naken jord, kan bestå i årtionden men försvinner gradvis när vegetationen sluter sig;4;långlivad perenn;1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer;2;ej vilande eller med icke-djup fysiologisk eller fysikalisk viloläge, gror 10–30 dagar efter sådd;2;kortvarig (1–5 år);Passive;Nej;C3;None;0;Nej;;;0;2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium brachypetalum Pers.;Caryophyllaceae;raggarv;301;Resident;VU;2;0;0. Inhemsk;0;1. Ingen risk;3;3. 13-24;3;12;12. zon 2;2;;3;5;6;Cerastium brachypetalum Pers.;Ört;SANT;Cerastium brachypetalum Pers.;5;30;Maj;Juni; ;Ingen data; ;Ingen data;SANT;Cerastium brachypetalum Pers.;Ja;Vit;SANT;6. sol, men tål viss skugga;2;2. torr;7;7. circumneutral (pH 6.5–7.5);6;6. måttligt–mycket kväverik;5;5. begränsad till jordar med hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;3;3. tål regelbunden betning/slåtter men föredrar ohanterade habitat;7;7. förökar sig endast i störd/naken jord, kan bestå några år men försvinner gradvis när vegetationen sluter sig;1;strikt ettårig;0c;självbefruktning (främst eller endast); ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium cerastoides (L.) Britton;Caryophyllaceae;lapparv;220691;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;3;1;1. hög-alpin/arktiskzon;16;;17;;7;Cerastium cerastoides (L.) Britton;Ört;SANT;Cerastium cerastoides (L.) Britton;5;20;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Cerastium cerastoides (L.) Britton;Ja;Vit;SANT;7. alltid full sol;6;6. fuktig;5;5. subneutral (pH 5.5–6.5);6;6. måttligt–mycket kväverik;5;5. begränsad till jordar med hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;7;7. starkt gynnad av betning/slåtter och försvinner inom några år om hantering upphör;7;7. förökar sig endast i störd/naken jord, kan bestå några år men försvinner gradvis när vegetationen sluter sig;4;långlivad perenn;1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer; ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium glomeratum Thuill.;Caryophyllaceae;knipparv;220695;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;4;4. 25-50;2;9;9. zon 5;1;;4;4;5;Cerastium glomeratum Thuill.;Ört;SANT;Cerastium glomeratum Thuill.;10;30;April;Juni;6;6.B Maj;3;22-juli;SANT;Cerastium glomeratum Thuill.;Ja;Vit;SANT;5. sol-halvskugga;5;5. mesisk–fuktig;4;4. måttligt sur – subneutral;5;5. måttligt kväverik;5;5. begränsad till jordar med hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden;4;4. trivs i både betade/slungna och ohanterade habitat;8;8. inte konkurrenskraftig i sluten vegetation, kräver markstörning minst vartannat år;1;strikt ettårig;0c;självbefruktning (främst eller endast); ;Ingen data;2;kortvarig (1–5 år);Passive;Nej;C3;None;0;Nej;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium nigrescens (H. C. Watson) Edmondston ex H. C. Watson;Caryophyllaceae;snöarv;220697;Resident;Not Red-listed;0;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;3;1;1. hög-alpin/arktiskzon;17;;18;;7;Cerastium nigrescens (H. C. Watson) Edmondston ex H. C. Watson;Ört;SANT;Cerastium nigrescens (H. C. Watson) Edmondston ex H. C. Watson;10;30;Juni;Augusti; ;Ingen data; ;Ingen data;SANT;Cerastium nigrescens (H. C. Watson) Edmondston ex H. C. Watson;Ja;Vit;SANT;7. alltid full sol;7;7. fuktig–våt;7;7. circumneutral (pH 6.5–7.5); ;Ingen data;4;4. gynnas av hög fosfortillgång;1;inte salttolerant, undviker även svagt salina förhållanden; ;Ingen data; ;Ingen data;4;långlivad perenn;1;pollinering underlättas av insekter, utöver självbefruktning (dvs. självinfertil) och/eller pollinering av abiotiska faktorer; ;Ingen data; ;Ingen data;Passive;Nej;C3;None;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chamaedaphne calyculata (L.) Moench;Ericaceae;finnmyrten;319;Resident;NT;1;0;0. Inhemsk;0;1. Ingen risk;1;1. <6;4;7;7. zon 7;10;;11;9;5;Chamaedaphne calyculata (L.) Moench;Buske;SANT;Chamaedaphne calyculata (L.) Moench;20;50;Maj;Juni; ;Ingen data; ;Ingen data;SANT;Chamaedaphne calyculata (L.) Moench;Ja;Rosa, vit;SANT;5. sol-halvskugga;7;7. fuktig–våt;3;3. måttligt sur (pH 4.5–5.5);2;2. måttligt–mycket kvävefattig;1;1. undviker jordar med hög tillgång på fosfor;1;inte salttolerant, undviker även svagt salina förhållanden;2;2. tål sporadisk betning/slåtter men inte regelbunden/upprepad;1;1. koloniserar redan etablerad vegetation och konkurrerar framgångsrikt vilket orsakar strukturella förändringar som består så länge det inte finns någon markstörning;4;långlivad perenn; ;ingen data;4;med mellanliggande eller djup fysiologisk eller morfofysiologisk viloläge, gror endast efter minst en period av > 35 dagar med kallstratifiering; ;Ingen data;AirD;Nej;C3;EriM;0;Nej;;;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
